kpt#   1, nband= 80, wtk=  1.00000, kpt=  0.0000  0.0000  0.0000 (reduced coord)
 -20.33436  -20.29794  -19.54528  -19.50643  -18.63186  -18.59551  -17.67050  -17.64725
 -15.71741  -15.70043  -14.50928  -14.48757  -13.26609  -13.24371  -12.07428  -12.05334
 -11.68245  -11.68073  -11.30553  -11.29379  -11.12058  -11.10257  -10.67425  -10.64415
 -10.53528  -10.53266  -10.52747  -10.49879  -10.17671  -10.15932   -9.86949   -9.83879
  -9.80680   -9.77374   -9.69183   -9.65334   -9.09780   -9.05064   -9.03998   -9.03961
  -9.02205   -9.01408   -8.49929   -8.48619   -8.37294   -8.30164   -8.24171   -8.22153
  -7.71240   -7.69521   -7.55713   -7.54780   -7.52454   -7.44790   -6.60445   -6.53526
  -5.75584   -5.72210   -1.74167   -1.70742   -0.80381   -0.73845   -0.26300   -0.21994
   0.19043    0.22823    0.26097    0.29901    0.31910    0.36327    0.46738    0.47939
 kpt#   7, nband= 80, wtk=  1.00000, kpt=  0.2000  0.0000  0.0000 (reduced coord)
 -22.10983  -22.10872  -21.77177  -21.76376  -21.32131  -21.30269  -20.78219  -20.75289
 -20.12626  -20.08993  -19.34139  -19.30265  -18.43419  -18.39797  -17.48214  -17.45899
 -15.55736  -15.54055  -14.37784  -14.35646  -13.20044  -13.17894  -12.27790  -12.27547
 -12.22413  -12.20937  -11.79663  -11.77690  -11.59786  -11.58012  -11.05503  -11.02030
 -10.97748  -10.95063  -10.31928  -10.28387  -10.27861  -10.27609  -10.11792  -10.09187
  -9.92174   -9.90463   -9.62214   -9.59255   -9.43920   -9.40125   -9.15063   -9.12803
  -9.07144   -9.05742   -8.84796   -8.79037   -8.37237   -8.35377   -8.12710   -8.05637
  -7.92884   -7.90956   -7.89079   -7.87820   -7.28248   -7.20583   -6.36158   -6.29117
  -5.50233   -5.46659   -1.88255   -1.84703   -0.94385   -0.87736    0.01710    0.05871
   0.17311    0.23479    0.43145    0.47778    0.54399    0.57680    0.75559    0.76867
 kpt#   8, nband= 80, wtk=  1.00000, kpt=  0.2333  0.0000  0.0000 (reduced coord)
 -21.85658  -21.85549  -21.51930  -21.51133  -21.07012  -21.05157  -20.53336  -20.50413
 -19.88107  -19.84485  -19.10138  -19.06280  -18.20194  -18.16589  -17.26041  -17.23730
 -15.39404  -15.37750  -14.27226  -14.25169  -13.26749  -13.24978  -12.84784  -12.84197
 -12.64971  -12.63947  -12.23703  -12.20949  -12.03857  -12.02098  -11.59136  -11.55396
 -11.20236  -11.18035  -10.91310  -10.87466  -10.25765  -10.23423  -10.14620  -10.11579
  -9.97766   -9.97525   -9.67535   -9.66213   -9.62304   -9.60630   -9.20250   -9.18046
  -9.14338   -9.10617   -8.55684   -8.53798   -8.52655   -8.49959   -8.24539   -8.22433
  -8.18102   -8.15883   -7.84095   -7.77102   -7.00178   -6.92539   -6.08110   -6.00923
  -5.20747   -5.16870   -2.08666   -2.04905   -1.15237   -1.08520   -0.07050   -0.00461
   0.34327    0.38248    0.70058    0.75549    0.85635    0.89096    0.99623    1.03398
 kpt#   9, nband= 80, wtk=  1.00000, kpt=  0.2667  0.0000  0.0000 (reduced coord)
 -21.56560  -21.56453  -21.22900  -21.22108  -20.78139  -20.76294  -20.24749  -20.21839
 -19.59953  -19.56349  -18.82629  -18.78796  -17.93632  -17.90052  -17.00561  -16.98245
 -15.27222  -15.25636  -14.29654  -14.27853  -13.62332  -13.61150  -13.34171  -13.33021
 -13.08301  -13.06914  -12.75666  -12.72928  -12.33023  -12.30699  -12.08504  -12.05177
 -11.58774  -11.55585  -11.14767  -11.11995  -10.87988  -10.85100  -10.29115  -10.27749
 -10.12493  -10.10075   -9.63322   -9.63096   -9.28155   -9.26531   -9.25156   -9.23232
  -8.82495   -8.82238   -8.80643   -8.77018   -8.53707   -8.50406   -8.46209   -8.43550
  -8.22547   -8.17014   -7.51828   -7.44969   -6.68813   -6.61248   -5.76974   -5.69624
  -4.87484   -4.83114   -2.36137   -2.31999   -1.43233   -1.36504   -0.40559   -0.33871
   0.59698    0.65506    0.70490    0.74131    0.99412    1.05767    1.21870    1.25618
 kpt#  10, nband= 80, wtk=  1.00000, kpt=  0.3000  0.0000  0.0000 (reduced coord)
 -21.23722  -21.23616  -20.90149  -20.89365  -20.45563  -20.43729  -19.92497  -19.89604
 -19.28232  -19.24653  -18.51707  -18.47911  -17.63949  -17.60416  -16.71929  -16.69577
 -15.31040  -15.29676  -14.60436  -14.59052  -14.09844  -14.08072  -13.75363  -13.74610
 -13.53852  -13.51151  -13.02771  -13.00937  -12.91126  -12.87774  -12.23003  -12.19537
 -12.06610  -12.04253  -11.51846  -11.48861  -11.03780  -11.01303  -10.90744  -10.89355
 -10.06642  -10.04420   -9.32741   -9.31352   -9.24765   -9.24564   -9.23985   -9.23719
  -8.90013   -8.88455   -8.75806   -8.74982   -8.72409   -8.71364   -8.43138   -8.39646
  -7.85934   -7.80591   -7.16463   -7.09822   -6.34994   -6.27609   -5.43983   -5.36519
  -4.51348   -4.46103   -2.70276   -2.65393   -1.77042   -1.70403   -0.81129   -0.74600
   0.10968    0.17011    1.00028    1.05274    1.08971    1.12243    1.30739    1.37872
